,MiscTechWorkedWith,.NET,.NET Core,React Native,Ansible,Pandas,Node.js,Unity 3D,TensorFlow,Torch/PyTorch,Teraform,Unreal Engine,Hadoop,Flutter,Cordova,Xamarin,Keras,Chef,Apache Spark,Puppet
213,.NET;.NET Core;Ansible;Chef;Teraform,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
214,Node.js;Pandas,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Chef;Node.js;Teraform,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
217,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,.NET;.NET Core;Apache Spark;Hadoop;Node.js;Pandas,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
220,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,.NET Core;Node.js;React Native,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,.NET;Node.js;Unity 3D;Xamarin,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
224,Node.js;React Native,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Keras;Pandas;TensorFlow,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
226,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Flutter;Node.js,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
228,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,.NET;Keras;TensorFlow,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
231,.NET;.NET Core;Cordova;Node.js;React Native;TensorFlow;Xamarin,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
232,Keras;Pandas;TensorFlow,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
233,Pandas;TensorFlow,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
234,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,.NET;.NET Core;Node.js;Xamarin,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
236,Cordova;Node.js;Pandas;TensorFlow,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
237,Flutter;Node.js,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
